This list includes all products vetted to see if they meet California’s legal use criteria. Please view column G (Can this product be used on cannabis? Y/N) to view which products are consistent with and meet California’s legal criteria for use on cannabis. ,,,,,,,
"This list is not an endorsement or recommendation to use these products in the production of cannabis, nor is it an exhaustive list of all products that may meet California’s use criteria.",,,,,,,
"Products exempt from registration under FIFRA 25(b) and 3 CCR 6147 (25(b) products) are not scientifically reviewed by DPR and will not be included in the list, though they may meet the criteria for use in California.",,,,,,,
Product Name,Can this product be used on Cannabis? Y/N,Restrictions & Exceptions,Registrant,EPA Registration Number,Active Ingredient(s),Pesticide Type,DPR Stamped Date* For Internal Use Only
Agree WG,Y,N/A,"Certis USA, LLC",70051-47-ZC,Bacillus thuringiensis subsp. aizawai,Insecticide,11/14/2017
Ancora,Y,This product is restricted to use in nurseries. ,"OHP, Inc.",70051-19-AA -59807,Isaria fumosorosea apopka strain 97 (ATCC 20874),Insecticide,10/10/2016
Aquaback (200g),Y,For mosquito control as directed on the label,"Becker Microbial Products, Inc.",62637-3-ZA,Bacilllus thuringiensis subspecies israelensis strain BMP 144,Insecticide,7/1/2013
Aquaback XT,Y,For mosquito control as directed on the label,"Becker Microbial Products, Inc.",62637-1-ZA,Bacilllus thuringiensis subspecies israelensis strain BMP 144,Insecticide,4/40/22
Aquatrols Capsil,Y,"This product is an adjuvant. It can be used with other registered products that meet the legal criteria for use on cannabis, but not independently. ",Aquatrols Corporation of America ,9037-50003-AA,N/A,Adjuvant,9/12/2019
Athena Cuts Rooting Compound,Y,N/A,"Athena Ag, Inc.",82752-1-93752,IBA (indole-3-butyric acid),Plant Growth Regulator,12/17/2019
Axxe Broad Spectrum Herbicide,Y,"This product is restricted to indoor use, including greenhouses. ","Biosafe Systems, LLC",70299-23-AA,Ammonium nonanoate,Herbicide,4/25/2014
Aza-Direct Biological Insecticide,Y,N/A,"Gowan Company, LLC",71908-1-AA-10163,Azadirachtin,"Insecticide, Insect Repellent",12/9/2010
Azaguard,Y,N/A,"Biosafe Systems, LLC",70299-17-AA,Azadirachtin,"Insecticide, Nematicide",2/2/2018
Azamax,Y,N/A,Parry America Inc.,71908-1-AA-81268,Azadirachtin,"Insecticide, Miticide, Nematicide",1/11/2019
Azasol,Y,N/A,"Arborjet, Inc.",81899-4-AA-74578,Azadirachtin,"Insecticide, Nematicide",5/28/2019
Azasol WSP,Y,N/A,"Arborjet, Inc.",81899-4-ZA-74578,Azadirachtin,Insecticide,5/4/2021
Azatin O Biological Insecticide,Y,N/A,"OHP, Inc.",70051-9-AA-59807,Azadirachtin,Insecticide,7/1/2022
Azera Insecticide,Y,,"McLaughlin Gormley King Company, D/B/A MGK",1021-1872-AA,"Azadirachtin, pyrethrins",Insecticide,4/22/2021
Azera Pro,Y,N/A,"McLaughlin Gormley King Company, D/B/A MGK",1021-1872-ZB,"Azadirachtin, pyrethrins",Insecticide,12/28/2018
Biosafe Weed & Grass Killer,Y,N/A,"Biosafe Systems, LLC",70299-25-ZB,Ammonium nonanoate,Herbicide,4/20/2021
Bioside HS 15%,Y,This product is restricted to cannabis related water processing systems. ,"Envir Tech Chemical Services, Inc.",63838-2-ZA,"Hydrogen peroxide, peroxyacetic acid","Bactericide, Fungicide, Algaecide, Antimicrobial, Slimicide, Disinfectant",7/9/2010
Bonide Diatomaceous Earth Crawling Insect Killer,Y,N/A,"Bonide Products, LLC",73729-1-ZA-4,Diatomaceous earth,Insecticide,6/3/2019
Botanical Kleenup Weed & Grass Killer Concentrate,Y,N/A,"Bonide Products, LLC",67702-54-ZB-4,"Caprylic acid, capric acid","Herbicide, Algaecide",3/23/2018
BotaniGard Maxx,Y,,"Certis USA, LLC",82074-5-ZA,"Pyrethrins, Beauveria bassiana strain: GHA",Insecticide,3/2/2021
Bug Buster-O ,Y,N/A,"Lawn And Garden Products, Inc.",1021-1771-AA-54705,Pyrethrins,Insecticide,6/15/2021
Burnout Formula II Fast Acting Weed And Grass Killer Concentrate,Y,N/A,"Bonide Products, LLC",67702-54-ZA-4,"Caprylic acid, capric acid","	Herbicide, Algaecide",5/7/2020
Burnout Formula Ii Fast Acting Weed And Grass Killer Ready To Use,Y,N/A,"Bonide Products, LLC",67702-59-ZA-4,"Caprylic acid, capric acid","Herbicide, Algaecide",1/13/2020
Captain Jack'S Deadweed Brew Concentrate,Y,N/A,"Bonide Products, LLC",67702-54-AA-4,"Caprylic acid, capric acid","Herbicide, Algaecide",9/18/2020
Captain Jack's Deadweed Brew Ready To Use,Y,N/A,"Bonide Products, LLC",67702-59-AA-4,"Caprylic acid, capric acid","Herbicide, Algaecide",4/4/2016
Captiva,Y,N/A,"Gowan Company, LLC",10163-326-AA,"Capsicum oleoresin, soybean oil, garlic","Insecticide, Repellent",3/3/2021
Captiva Prime,Y,N/A,"Gowan Company, LLC",10163-336-AA,"Capsicum oleoresin, soybean oil, garlic","Insecticide, Repellent",4/2/2018
Cease,Y,N/A,"Bioworks, Inc. D/B/A Bioworks",264-1155-AA-68539,QST 713 strain of dried Bacillus subtilis,Fungicide,1/25/2017
Celite 610,Y,N/A,"Imerys Filtration Minerals, Inc. ",73729-1-AA ,Diatomaceous earth,"Molluscicide, Insecticide",4/6/2021
Clonex Rooting Gel,Y,N/A,Growth Technology Ltd.,79664-1-AA,IBA (indole-3-butyric acid),Growth Regulator,4/12/2017
Debug Optimo,Y,This product can only be applied in greenhouses.,"Agro Logistic Systems, Inc.",70310-7-AA,"Margosa oil, azadirachtin ","Fungicide, Miticide, Insecticide, Nematicide, Repellent, Growth Regulator",6/10/2021
Debug Optimo,Y,This product can only be applied in greenhouses.,"McLaughlin Gormley King Company, D/B/A MGK",1021-2876-AA,"Margosa oil, azadirachtin ","Fungicide, Miticide, Insecticide, Repellent, Nematicide",1/1/2021
Debug Tres,Y,This product can only be applied in greenhouses.,"Agro Logistic Systems, Inc.",70310-8-AA,"Margosa oil, azadirachtin ","Fungicide, Miticide, Insecticide, Nematicide, Repellent, Growth Regulator",5/4/2021
Debug Tres,Y,This product can only be applied in greenhouses.,"McLaughlin Gormley King Company, D/B/A MGK",1021-2877-AA,"Margosa oil, azadirachtin ","Fungicide, Miticide, Insecticide, Repellent, Nematicide",3/10/2021
Debug Turbo,Y,This product can only be applied in greenhouses.,"Agro Logistic Systems, Inc.",70310-5-AA,"Margosa oil, azadirachtin ","Fungicide, Miticide, Insecticide, Repellent, Insect Growth Regulator, Nematicide",4/20/2018
Debug Turbo,Y,This product can only be applied in greenhouses.,"McLaughlin Gormley King Company, D/B/A MGK",1021-2874-AA,"Margosa oil, azadirachtin ","Fungicide, Miticide, Insecticide, Repellent, Nematicide",4/6/2021
Debug-On,Y,This product can only be applied in greenhouses.,"Agro Logistic Systems, Inc.",70310-11-AA,Margosa oil,"Fungicide, Miticide, Insecticide, Nematicide, Repellent",3/10/2021
Debug-On,Y,This product can only be applied in greenhouses.,"McLaughlin Gormley King Company, D/B/A MGK",1021-2879-AA,Margosa oil,"Fungicide, Miticide, Insecticide, Repellent, Nematicide",1/1/2022
